price,timestamp,block_number,feed,time_delta,price_delta
97458.33499999999,2025-01-04 16:38:36,12451273,Api3,,
98145.30804706,2025-01-04 20:00:46,12454343,Redstone,,
97988.39113757,2025-01-05 01:02:09,12458887,Redstone,18083.0,-0.15988223238828647
97626.21011343,2025-01-05 08:17:57,12465615,Redstone,26148.0,-0.3696162575335227
97162.85363118,2025-01-05 14:17:07,12471998,Redstone,21550.0,-0.4746230358749326
97572.34624026,2025-01-05 14:48:18,12472569,Redstone,1871.0,0.421449755514991
97938.33660995,2025-01-05 16:06:52,12473931,Redstone,4714.0,0.37509641183455233
97729.4706,2025-01-05 16:35:31,12474451,Api3,86215.0,0.27820668186051556
97464.58467213,2025-01-05 17:49:38,12475776,Redstone,6166.0,-0.4837247131394107
97936.07708448,2025-01-05 20:15:30,12478297,Redstone,8752.0,0.483757678685115
98413.75150455,2025-01-05 22:39:39,12480585,Redstone,8649.0,0.4877410187238418
97995.66805953,2025-01-06 00:56:34,12482708,Redstone,8215.0,-0.4248221804659891
97979.891002,2025-01-06 01:02:10,12482799,Redstone,336.0,-0.016099749960796217
98468.65556923,2025-01-06 01:54:30,12483585,Redstone,3140.0,0.49884171357164053
98885.9975376,2025-01-06 02:08:21,12483812,Redstone,831.0,0.4238323007025979
98425.74014838,2025-01-06 02:16:00,12483935,Redstone,459.0,-0.4654424293439319
98871.36274808,2025-01-06 03:39:27,12485317,Redstone,5007.0,0.452750062156726
99350.12355889,2025-01-06 05:30:39,12487120,Redstone,6672.0,0.4842259654394221
98875.85399879,2025-01-06 07:19:07,12488956,Redstone,6508.0,-0.47737188753356197
99365.52699117,2025-01-06 14:45:38,12497085,Redstone,26791.0,0.495240215458459
99946.74945804,2025-01-06 14:49:20,12497152,Redstone,222.0,0.5849337134010701
100460.9479839,2025-01-06 14:53:40,12497239,Redstone,260.0,0.5144724852466309
100958.63881126,2025-01-06 15:18:31,12497703,Redstone,1491.0,0.49540725759402715
101466.935,2025-01-06 15:37:58,12498064,Redstone,1167.0,0.5034697324814763
